cellID,layer,x,y,f_cult,farm_hectares,dC_10_1,dC_10_2,dC_10_3,dC_10_4,dC_10_5,dC_20_1,dC_20_2,dC_20_3,dC_20_4,dC_20_5,dC_30_1,dC_30_2,dC_30_3,dC_30_4,dC_30_5
Unique cell ID,County code,Longitude,Latitude,Fraction cultivated,Hectares cultivated,"Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density"
55,2446,-117.1454598,47.87237494,0.102,25500,0.282172277,0.563769542,0.844792482,1.125241787,1.405118145,0.563769542,1.125241787,1.684422245,2.241316426,2.795929838,0.844792482,1.684422245,2.518907884,3.34826799,4.172521158
56,1773,-116.4976292,47.97089771,0.004,1000,0.272857226,0.545039532,0.816547826,1.087383018,1.357546015,0.545039532,1.087383018,1.627037728,2.164010932,2.6983099,0.816547826,1.627037728,2.431494241,3.229941902,4.022405245
59,1224,-114.5427021,48.24847044,0.072,18000,0.309385063,0.618058552,0.926021388,1.233274488,1.539818773,0.618058552,1.233274488,1.84565516,2.455207922,3.061940126,0.926021388,1.84565516,2.758926134,3.665859125,4.566478951
60,1224,-113.8874255,48.33494342,0.058,14500,0.528783925,1.056718798,1.58380532,2.110044193,2.635436119,1.056718798,2.110044193,3.159981801,4.20653724,5.249716126,1.58380532,3.159981801,4.728548401,6.289524075,7.842927779
61,1238,-113.2304231,48.41836531,0.01,2500,0.351360171,0.702001941,1.051926195,1.401133815,1.749625683,0.702001941,1.401133815,2.097402684,2.790815613,3.481379665,1.051926195,2.097402684,3.136453307,4.169101905,5.195372319
62,1238,-112.5717511,48.49872145,0.388,97000,0.294352599,0.588151065,0.881396069,1.174088284,1.466228383,0.588151065,1.174088284,1.757817037,2.339342701,2.918670654,0.881396069,1.757817037,2.629281055,3.495806274,4.357410845
63,1205,-111.9114667,48.57599759,0.564,141000,0.283643347,0.567030203,0.850160758,1.133035202,1.415653726,0.567030203,1.133035202,1.698016521,2.261975681,2.824914208,0.850160758,1.698016521,2.543572429,3.386833623,4.227805246
64,3048,-111.249628,48.65017989,0.616,154000,0.275852353,0.551473271,0.826862928,1.102021499,1.376949159,0.551473271,1.102021499,1.651646082,2.200348416,2.748129897,0.826862928,1.651646082,2.474354176,3.294991921,4.113564031
65,1123,-110.5862937,48.72125499,0.836,209000,0.290716631,0.581208928,0.871477031,1.16152108,1.451341212,0.581208928,1.16152108,1.740937568,2.319459507,2.897088011,0.871477031,1.740937568,2.608385369,3.473824194,4.337257802
66,1123,-109.9215238,48.78920996,0.592,148000,0.282770499,0.56532543,0.847664915,1.12978908,1.411698047,0.56532543,1.12978908,1.693391941,2.256135004,2.81801926,0.847664915,1.693391941,2.537184421,3.3790457,4.218979122
67,1994,-109.2553789,48.85403237,0.238,59500,0.24911704,0.498059442,0.746827329,0.99542082,1.243840038,0.498059442,0.99542082,1.492085104,1.988053262,2.483326266,0.746827329,1.492085104,2.235776598,2.977905084,3.718473836
68,1994,-108.5879202,48.91571026,0.346,86500,0.332781852,0.665219996,0.997314735,1.329066372,1.660475211,0.665219996,1.329066372,1.991541552,2.652647959,3.312388017,0.997314735,1.991541552,2.98268863,3.970764147,4.955776281
69,2907,-107.91921,48.97423219,0.156,39000,0.290299624,0.580302845,0.870009921,1.159421105,1.448536652,0.580302845,1.159421105,1.737356819,2.314112032,2.889688785,0.870009921,1.737356819,2.602047588,3.464089119,4.323488305
71,2835,-68.64607202,46.75788978,0.008,2000,0.449676609,0.898364574,1.346065103,1.792779406,2.238508692,0.898364574,1.792779406,2.68325417,3.569798539,4.452422188,1.346065103,2.68325417,4.011599849,5.331134789,6.641891636
72,2835,-68.02213677,46.62832508,0.156,39000,0.510833901,1.020589467,1.529267968,2.036870675,2.543398858,1.020589467,2.036870675,3.048853789,4.056548977,5.059966402,1.529267968,3.048853789,4.558791774,6.059116231,7.54986147
73,1688,-123.9411263,46.16482076,0.002,500,2.685498162,5.377739869,8.076728803,10.78246864,13.49496307,5.377739869,10.78246864,16.21421577,21.67301071,27.15888289,8.076728803,16.21421577,24.4125603,32.67186178,40.9922196
74,95,-123.3214884,46.2940486,0.01,2500,0.614361765,1.227749665,1.840164734,2.451608008,3.06208052,1.227749665,2.451608008,3.671583305,4.887683831,6.099917863,1.840164734,3.671583305,5.494283641,7.308293676,9.113641339
75,2655,-122.6994521,46.42049956,0.026,6500,0.777576721,1.553727892,2.328455299,3.10176073,3.873645969,1.553727892,3.10176073,4.644112804,6.180798406,7.711831823,2.328455299,4.644112804,6.947020744,9.237227348,11.51478084
78,1408,-120.8193542,46.78300745,0.072,18000,0.235324308,0.47040466,0.705241116,0.939833737,1.174182585,0.47040466,0.939833737,1.408287718,1.875767089,2.342272334,0.705241116,1.408287718,2.109141447,2.80780394,3.504276838
79,1593,-120.1881315,46.89816811,0.092,23000,0.16910354,0.337924305,0.506462602,0.67471874,0.842693025,0.337924305,0.67471874,1.010385766,1.344927846,1.678347443,0.506462602,1.010385766,1.511777801,2.010647017,2.507001724
80,1555,-119.5547197,47.01046149,0.486,121500,0.099828952,0.199547398,0.299155472,0.39865331,0.498041048,0.199547398,0.39865331,0.59731882,0.795545012,0.993332969,0.299155472,0.59731882,0.894493702,1.190683776,1.485892697
81,1061,-118.9191639,47.11987015,0.662,165500,0.06589926,0.131920691,0.198063998,0.264328886,0.330715059,0.131920691,0.264328886,0.397222222,0.530598333,0.664454855,0.198063998,0.397222222,0.59746669,0.798789424,1.001182442
82,1061,-118.2815103,47.22637691,0.494,123500,0.306569414,0.612761239,0.918575735,1.224013166,1.529073794,0.612761239,1.224013166,1.833757881,2.441997482,3.048734066,0.918575735,1.833757881,2.74555352,3.653969733,4.559013602
83,2446,-117.6418063,47.32996487,0.458,114500,0.524422615,1.048036722,1.570843092,2.092842493,2.614035696,1.048036722,2.092842493,3.134423469,4.172785802,5.207935649,1.570843092,3.134423469,4.690761902,6.239879165,7.781796029
84,270,-117.0001002,47.43061738,0.362,90500,0.597544385,1.194038426,1.789483151,2.38387959,2.977228772,1.194038426,2.38387959,3.569531728,4.751003075,5.928301865,1.789483151,3.569531728,5.340173525,7.101436335,8.853347953
85,270,-116.3564414,47.52831812,0.002,500,0.290573618,0.580317026,0.869231412,1.157317964,1.444577869,0.580317026,1.157317964,1.731012315,2.301409581,2.868519264,0.869231412,1.731012315,2.585374777,3.432350866,4.27197265
87,3013,-115.0634681,47.71480056,0.004,1000,0.411319266,0.821463335,1.230433887,1.638232606,2.044861171,0.821463335,1.638232606,2.450321264,3.257742758,4.060510539,1.230433887,2.450321264,3.659707522,4.858638057,6.047158263
88,1337,-114.4142574,47.80355122,0.072,18000,0.275871901,0.551131077,0.825778335,1.099814486,1.373240336,0.551131077,1.099814486,1.646056695,2.189864174,2.731243392,0.825778335,1.646056695,2.460856912,3.270200817,4.074110242
89,1337,-113.7633014,47.8892881,0.002,500,1.242776752,2.482998691,3.720668797,4.955790051,6.188365433,2.482998691,4.955790051,7.418397924,9.870846156,12.31315859,3.720668797,7.418397924,11.09326786,14.74535907,18.37475204
91,2030,-112.4563719,48.05166247,0.304,76000,0.220963198,0.441555411,0.661777033,0.881628456,1.101110073,0.441555411,0.881628456,1.320222275,1.757340008,2.192984796,0.661777033,1.320222275,1.975346324,2.627159778,3.275673238
92,2699,-111.8005096,48.12827195,0.812,203000,0.290437776,0.580562272,0.870373758,1.159872505,1.449058785,0.580562272,1.159872505,1.737932867,2.314745526,2.890312648,0.870373758,1.737932867,2.602684644,3.464636401,4.323795456
93,3048,-111.1431246,48.20181163,0.646,161500,0.266277855,0.532297384,0.79805879,1.063562275,1.328808044,0.532297384,1.063562275,1.5937963,2.123001086,2.65117826,0.79805879,1.5937963,2.387218023,3.178329449,3.96713607
94,1416,-110.4842747,48.27226858,0.798,199500,0.278925792,0.557612345,0.836059826,1.114268403,1.392238244,0.557612345,1.114268403,1.669969517,2.224717029,2.778512281,0.836059826,1.669969517,2.501733603,3.331356614,4.158843078
95,1123,-109.8240186,48.33963029,0.358,89500,0.308489443,0.616667217,0.924533586,1.232088814,1.539333166,0.616667217,1.232088814,1.846266905,2.459203602,3.07090102,0.924533586,1.846266905,2.765207089,3.681361271,4.594736582
96,1994,-109.1624157,48.40388473,0.302,75500,0.347344937,0.694281463,1.040810023,1.386931056,1.732645006,0.694281463,1.386931056,2.077952314,2.767348771,3.455123963,1.040810023,2.077952314,3.111438804,4.141281425,5.167492108
97,1994,-108.4995263,48.46502033,0.25,62500,0.265003692,0.529814644,0.794432996,1.05885889,1.323092465,0.529814644,1.05885889,1.587133861,2.114640681,2.641380473,0.794432996,1.587133861,2.378106385,3.167354359,3.954881572
98,2907,-107.8354111,48.52302602,0.214,53500,0.29903257,0.59778138,0.896246655,1.194428619,1.492327498,0.59778138,1.194428619,1.789943515,2.384327866,2.977583468,0.896246655,1.789943515,2.681096648,3.56971212,4.455795998
99,1029,-107.1701319,48.57789123,0.234,58500,0.249702996,0.499242562,0.748618821,0.997831895,1.246881908,0.499242562,0.997831895,1.495768981,1.993054803,2.489690342,0.748618821,1.495768981,2.241453796,2.985676582,3.728440653
100,1029,-106.503751,48.62960589,0.344,86000,0.325152601,0.649995983,0.974530353,1.298755916,1.622672878,0.649995983,1.298755916,1.946281443,2.592574207,3.237635854,0.974530353,1.946281443,2.915258818,3.881468026,4.844914616
101,2159,-105.8363314,48.67816049,0.526,131500,0.316869476,0.633278944,0.949228892,1.264719808,1.57975218,0.633278944,1.264719808,1.894326497,2.522102912,3.148052959,0.949228892,1.894326497,2.835305988,3.77218054,4.704963326
102,2159,-105.1679365,48.72354601,0.628,157000,0.319967451,0.639613214,0.958937543,1.277940695,1.596622925,0.639613214,1.277940695,1.914984488,2.550746635,3.185229182,0.958937543,1.914984488,2.868147731,3.81843417,4.765850703
103,661,-104.4986305,48.765754,0.664,166000,0.329325326,0.658380339,0.987165198,1.315680063,1.643925093,0.658380339,1.315680063,1.97190045,2.627042778,3.281108327,0.987165198,1.97190045,2.95421007,3.934098374,4.911569675
104,954,-103.8284782,48.80477656,0.548,137000,0.538838935,1.076822347,1.613951139,2.150226219,2.685648492,1.076822347,2.150226219,3.220218864,4.286807526,5.34999945,1.613951139,3.220218864,4.818827627,6.409801884,7.993166089
105,954,-103.1575445,48.84060636,0.582,145500,0.594550569,1.188043461,1.780479886,2.371861056,2.96218818,1.188043461,2.371861056,3.551462469,4.726857382,5.898055478,1.780479886,3.551462469,5.312980427,7.065066438,8.807753179
106,1302,-102.4858953,48.87323664,0.46,115000,0.699433241,1.397462583,2.094089744,2.789316444,3.483144402,1.397462583,2.789316444,4.175575338,5.556253021,6.931363246,2.094089744,4.175575338,6.244503206,8.300919771,10.34487146
107,160,-101.8135964,48.90266123,0.63,157500,0.577738309,1.154547414,1.730428112,2.305381202,2.879407481,1.154547414,2.305381202,3.452507748,4.595933438,5.735664654,1.730428112,3.452507748,5.166260456,6.871707782,8.568871274
108,1992,-101.1407145,48.92887452,0.476,119000,0.648775664,1.296557957,1.943347677,2.589145622,3.233952589,1.296557957,2.589145622,3.877769377,5.162435608,6.4431507,1.943347677,3.877769377,5.803286648,7.719921035,9.627694087
